,zip,bar_score,bar_revcount,rest_score,rest_revcount,num_complaints,num_food_est,num_food_poi,num_smoking,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
73,10174,3.55,177.55,4.075,346.9,0.0,0.0,0.0,0.0,3.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77777777778
74,10175,3.6,201.5,4.025,265.65,0.0,0.0,0.0,0.0,2.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0
75,10176,3.525,141.0,4.0,296.45,0.0,0.0,0.0,0.0,2.0,42.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7857142857
76,10179,3.5,147.5,3.775,221.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
77,10199,3.975,157.3,4.175,287.2,0.0,0.0,0.0,0.0,1.0,33.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3
78,10279,3.775,111.9,4.0,175.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
79,10280,3.875,188.15,4.05,249.9,39.0,31.0,7.0,0.0,9.0,151.0,89.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,14.0
80,10281,3.46666666667,92.5333333333,3.525,114.95,16.0,11.0,4.0,1.0,27.0,193.0,115.0,10.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,11.3218390805
81,10282,4.025,201.25,4.2,335.15,25.0,14.0,11.0,0.0,17.0,183.0,90.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.3924050633
82,10285,3.20833333333,146.833333333,3.575,145.65,0.0,0.0,0.0,0.0,2.0,45.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8461538462
83,10301,3.95,64.55,4.175,105.7,219.0,151.0,62.0,4.0,97.0,1529.0,850.0,29.0,7.0,1.0,3.0,5.0,5.0,7.0,9.0,4.0,14.6846153846
84,10302,3.65,34.15,3.925,67.65,196.0,133.0,61.0,0.0,67.0,1165.0,663.0,13.0,12.0,1.0,0.0,0.0,3.0,9.0,8.0,2.0,16.4495912807
85,10303,3.925,36.6,4.175,67.05,107.0,70.0,33.0,3.0,37.0,708.0,392.0,7.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,4.0,16.4139534884
