,bar_rating,bar_rev_count,rest_rating,rest_rev_count,num_complaints,num_food_est,num_food_poi,num_smoking,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
10285,0.0,0,3.0,45,288.0,176.0,66.0,46.0,2,45,26,2,0,0,0,0,0,0,0,0,18.8461538462
10301,3.9375,67,4.125,101,52.0,29.0,7.0,16.0,97,1529,850,29,7,1,3,5,5,7,9,4,14.6846153846
10302,3.625,25,4.15,90,92.0,61.0,29.0,2.0,67,1165,663,13,12,1,0,0,3,9,8,2,16.4495912807
10303,3.75,34,4.0,50,203.0,145.0,54.0,4.0,37,708,392,7,4,1,2,2,3,0,1,4,16.4139534884
10304,3.8,50,4.375,87,154.0,118.0,36.0,0.0,54,972,539,14,7,0,0,1,2,5,8,3,17.4631578947
10305,4.125,42,4.14285714286,105,45.0,36.0,8.0,1.0,94,1583,852,17,8,2,1,15,0,3,12,0,14.9613899614
10306,4.0,9,4.125,53,194.0,134.0,60.0,0.0,112,1735,962,24,12,6,1,8,1,2,15,2,14.1571906355
10307,3.27777777778,14,4.0,29,1.0,0.0,0.0,1.0,30,401,232,6,2,1,1,5,0,1,4,1,13.9645390071
10308,3.45454545455,45,3.88461538462,63,1.0,0.0,0.0,1.0,57,1016,545,14,6,4,0,9,0,0,6,2,15.0271903323
10309,3.3,83,3.80769230769,53,101.0,82.0,19.0,0.0,78,1235,723,20,4,4,3,7,0,1,11,0,15.033492823
10310,3.875,43,4.0,59,12.0,11.0,1.0,0.0,53,954,531,14,4,1,1,3,1,5,6,0,16.8945454545
10311,0.0,0,5.0,1,1.0,0.0,1.0,0.0,1,19,11,1,0,0,0,0,0,0,0,0,17.6
10312,3.875,18,4.0,49,1.0,0.0,1.0,0.0,76,1246,738,19,6,7,0,8,0,0,11,0,15.6893203883
10314,3.75,50,4.28571428571,57,32.0,20.0,11.0,1.0,179,3097,1795,48,14,8,8,8,1,2,20,1,15.8333333333
10317,0.0,0,0.0,0,510.0,361.0,98.0,47.0,1,17,5,0,0,0,0,0,0,0,0,0,14.75
10451,3.5,65,4.0,36,207.0,132.0,44.0,28.0,162,2423,1299,68,13,0,2,1,4,6,16,5,13.7305045872
10452,3.25,30,4.375,25,451.0,277.0,92.0,79.0,103,1902,1056,8,15,0,0,0,22,2,8,12,15.213036566
10453,0.0,0,4.0,16,181.0,110.0,60.0,9.0,92,1850,1021,6,18,0,0,0,14,5,9,8,15.1598023064
10454,4.16666666667,76,4.25,92,265.0,180.0,48.0,36.0,70,1501,854,11,13,1,0,0,7,7,6,8,14.8396793587
10455,4.16666666667,10,4.25,26,588.0,210.0,80.0,293.0,101,1972,1073,10,9,0,0,2,10,15,10,9,15.2339449541
10456,0.0,0,4.1,24,3.0,3.0,0.0,0.0,93,1753,968,8,21,0,1,0,10,0,8,5,14.3484848485
10457,3.25,2,4.5,8,887.0,627.0,228.0,21.0,88,1556,794,11,15,0,1,0,11,3,6,15,14.693359375
10458,3.72222222222,33,4.13333333333,112,256.0,188.0,62.0,4.0,189,3430,1880,32,23,2,7,18,17,10,23,8,15.1645796064
10459,0.0,0,4.0,6,297.0,220.0,57.0,18.0,74,1433,800,7,12,0,0,0,11,2,10,5,14.3861788618
10460,0.0,0,4.25,35,297.0,211.0,76.0,8.0,68,1001,502,14,13,0,1,0,8,1,8,2,12.8766756032
10461,3.96666666667,28,4.07142857143,105,294.0,209.0,75.0,7.0,157,2555,1403,28,17,4,7,11,6,3,16,5,14.1333333333
10462,3.5625,29,4.10714285714,100,474.0,358.0,108.0,5.0,151,2645,1436,29,19,0,4,3,9,6,18,2,14.3890746934
10463,3.7,100,4.11764705882,101,277.0,189.0,83.0,3.0,131,2150,1179,32,15,3,5,2,9,5,12,3,14.2449799197
10464,4.0,14,3.63636363636,153,575.0,413.0,122.0,37.0,37,793,422,14,1,1,0,3,1,0,1,1,16.71875
10465,3.42857142857,40,4.0,119,155.0,122.0,33.0,0.0,79,1396,736,28,9,3,5,3,3,4,10,1,14.614379085
10466,0.0,0,4.4,32,585.0,418.0,124.0,37.0,93,1738,960,10,15,0,0,0,2,0,7,1,14.9705372617
10467,4.0,32,4.125,34,340.0,245.0,92.0,2.0,163,2758,1501,13,29,0,3,0,9,8,24,10,14.614806867
10468,4.0,88,4.0,60,405.0,305.0,81.0,10.0,105,2041,1101,10,13,0,3,0,10,9,13,7,15.3681073025
10469,3.5,38,4.05555555556,31,480.0,310.0,132.0,37.0,90,1829,1016,10,13,0,2,2,4,0,14,0,15.597972973
10470,3.42857142857,15,3.5,64,573.0,399.0,155.0,17.0,46,820,447,10,3,0,0,2,0,0,5,0,14.8156028369
10471,3.8,62,3.92857142857,66,481.0,376.0,94.0,9.0,49,800,443,19,4,2,0,2,1,1,6,0,13.8430656934
10472,4.0,18,4.07142857143,26,515.0,334.0,153.0,24.0,107,1881,1034,7,15,0,0,0,17,10,11,10,14.3492063492
10473,5.0,2,5.0,2,391.0,276.0,81.0,29.0,29,485,276,3,9,0,0,0,1,0,3,5,14.813253012
10474,0.0,0,3.83333333333,11,258.0,168.0,75.0,13.0,38,686,377,10,4,0,2,0,6,1,4,5,13.8755364807
10475,2.75,37,2.8,67,601.0,359.0,163.0,76.0,59,841,473,14,7,1,2,1,0,0,4,0,14.4093959732
10528,3.875,32,4.5,42,289.0,225.0,61.0,3.0,1,2,1,1,0,0,0,0,0,0,0,0,10.0
10605,3.83333333333,69,3.92857142857,100,376.0,273.0,78.0,19.0,1,17,13,0,0,0,0,0,0,0,0,0,14.8333333333
11001,4.0,36,4.21875,57,390.0,265.0,89.0,32.0,2,40,20,1,0,0,0,0,0,0,1,0,16.9166666667
11004,0.0,0,4.0,80,274.0,178.0,92.0,3.0,30,607,336,1,2,0,0,0,0,0,2,0,15.8756476684
11005,0.0,0,0.0,0,194.0,146.0,45.0,2.0,2,40,28,1,0,0,0,0,0,0,0,0,21.5
11040,3.88888888889,62,4.1,119,480.0,335.0,138.0,4.0,18,375,210,7,3,0,0,2,0,0,1,1,16.0517241379
11101,4.27272727273,123,4.375,226,121.0,91.0,28.0,2.0,260,4861,2713,96,8,8,16,10,8,5,11,8,14.9462705436
11102,4.2,155,4.22222222222,216,370.0,261.0,83.0,23.0,86,1443,806,19,7,0,6,2,1,4,11,2,14.3131313131
11103,4.18181818182,231,4.30769230769,396,323.0,229.0,82.0,10.0,213,4080,2214,41,9,6,14,4,8,8,14,5,14.4590163934
11104,3.75,102,4.13636363636,210,285.0,221.0,42.0,17.0,112,2137,1176,21,9,4,4,6,7,3,8,3,15.6558345643
11105,4.1,63,4.25,315,125.0,105.0,17.0,1.0,134,2504,1404,28,6,7,9,7,0,3,8,2,14.5296208531
11106,4.1875,136,4.27272727273,361,247.0,175.0,67.0,2.0,163,3370,1895,28,14,6,6,7,7,8,13,5,15.2803308824
11109,3.625,236,4.5,493,384.0,293.0,81.0,9.0,7,117,60,2,1,0,1,1,2,0,0,0,14.4054054054
11201,3.85714285714,170,4.0625,494,688.0,472.0,164.0,47.0,347,6192,3440,107,14,14,28,17,4,11,20,7,14.4473180077
11203,4.33333333333,27,3.9,109,266.0,209.0,56.0,0.0,143,2821,1569,16,16,0,2,0,0,0,5,0,15.6852678571
11204,3.75,20,3.85,97,234.0,174.0,54.0,5.0,125,2645,1507,5,29,6,7,6,1,3,10,0,16.3589108911
11205,4.16666666667,118,4.375,165,385.0,264.0,93.0,25.0,140,2802,1554,40,9,5,10,3,7,6,7,3,14.8800436205
11206,4.15,103,4.36363636364,262,76.0,45.0,31.0,0.0,151,2692,1503,33,13,2,11,1,8,10,13,10,15.2355605889
11207,4.875,14,4.83333333333,34,1.0,0.0,0.0,0.0,141,2712,1511,19,29,1,2,1,10,0,13,17,15.1013363029
11208,4.0,9,4.0,47,2.0,2.0,0.0,0.0,112,2423,1392,6,22,0,1,0,12,5,11,13,16.2639791938
11209,3.97368421053,80,4.25,158,146.0,100.0,35.0,10.0,264,4556,2447,65,23,10,10,16,1,8,23,2,14.4696569921
11210,3.16666666667,55,4.0625,38,688.0,452.0,157.0,67.0,86,1519,828,11,15,1,2,0,0,0,4,1,15.0491159136
11211,4.41666666667,99,4.54545454545,368,489.0,331.0,96.0,57.0,378,7170,3896,128,15,8,28,14,19,16,21,5,14.7346053773
11212,3.5,2,4.2,11,164.0,116.0,30.0,7.0,111,2086,1141,10,25,0,2,0,2,0,10,4,15.5208333333
11213,0.0,0,4.5,25,103.0,76.0,22.0,5.0,89,1832,1031,11,18,0,1,0,1,0,2,2,16.4964788732
11214,4.25,37,4.1875,78,207.0,115.0,37.0,51.0,182,3552,2008,21,48,10,7,5,3,6,20,2,16.1792114695
11215,4.14705882353,170,4.18421052632,283,79.0,66.0,12.0,0.0,353,6604,3703,102,17,11,28,22,8,19,23,4,15.0841908326
11216,4.21428571429,33,4.5,96,204.0,132.0,49.0,21.0,163,2920,1605,23,17,4,12,1,3,6,10,4,15.5951374207
11217,4.30769230769,123,4.1875,238,85.0,63.0,20.0,2.0,259,4378,2384,70,11,10,15,11,6,7,14,4,13.6705653021
11218,4.1875,117,4.14285714286,165,35.0,19.0,13.0,2.0,138,2919,1649,18,14,1,4,3,2,10,13,4,16.1800894855
11219,3.5,66,4.125,84,116.0,73.0,42.0,1.0,108,2150,1188,6,26,3,0,6,3,7,6,4,15.6554252199
11220,4.0,31,4.18181818182,159,116.0,79.0,35.0,2.0,317,6701,3983,18,119,5,15,2,20,18,14,3,17.4576271186
11221,4.3125,45,4.5,108,111.0,79.0,31.0,1.0,112,1804,973,14,24,0,9,2,8,2,12,11,15.6123893805
11222,4.14705882353,151,4.17647058824,179,160.0,108.0,52.0,0.0,200,3524,1948,60,8,4,21,7,1,6,11,1,15.1922739245
11223,3.68181818182,26,4.22727272727,289,292.0,221.0,58.0,5.0,186,3231,1738,23,21,3,10,9,1,10,14,3,15.1207224335
11224,3.66666666667,55,3.83333333333,278,114.0,80.0,34.0,0.0,77,1159,599,28,8,1,1,1,1,2,8,2,13.6598984772
11225,4.125,58,4.33333333333,66,38.0,30.0,8.0,0.0,116,1845,1030,13,14,1,7,0,1,2,9,1,14.7903225806
11226,3.83333333333,17,4.25,154,3.0,2.0,0.0,0.0,194,3922,2167,18,29,1,4,0,2,4,14,4,15.7547923323
11228,4.5,6,4.33333333333,94,622.0,408.0,190.0,15.0,57,1025,571,13,9,1,1,6,0,4,9,0,14.382183908
11229,4.25,46,4.0,176,406.0,285.0,101.0,16.0,135,2678,1512,17,25,11,5,2,0,3,19,0,16.2514827995
11230,3.83333333333,120,3.9375,357,253.0,174.0,72.0,4.0,105,2262,1274,11,5,1,4,2,1,2,11,2,16.2510578279
11231,4.19444444444,93,4.21052631579,278,516.0,362.0,137.0,13.0,161,2800,1541,61,6,5,13,8,3,5,13,0,14.2096944152
11232,3.9,29,4.45,123,368.0,252.0,94.0,19.0,110,2124,1227,18,17,0,3,1,10,10,6,8,16.6390977444
11233,4.125,54,4.27777777778,169,208.0,145.0,43.0,17.0,73,1067,595,10,17,0,2,1,1,0,3,0,15.5404624277
11234,4.25,45,4.16666666667,70,108.0,80.0,23.0,5.0,143,2454,1303,30,23,3,2,8,0,1,13,0,13.9719853837
11235,3.55555555556,37,4.06666666667,172,461.0,339.0,79.0,38.0,174,3217,1772,28,11,14,7,5,0,2,10,0,15.0424300868
11236,3.0,25,3.875,35,47.0,36.0,9.0,1.0,113,2092,1135,12,28,0,2,1,1,0,9,0,15.2217261905
11237,4.23333333333,73,4.28571428571,113,91.0,65.0,24.0,0.0,199,3472,1947,40,15,5,13,3,13,23,11,18,15.5904590459
11238,4.21052631579,81,4.32352941176,131,90.0,70.0,20.0,0.0,249,4171,2283,87,12,7,19,13,4,14,11,1,14.580715851
11239,2.6,105,3.1,69,262.0,189.0,58.0,14.0,16,112,70,5,1,0,1,1,0,0,2,0,12.5333333333
11242,0.0,0,0.0,0,108.0,59.0,42.0,7.0,1,36,18,0,0,0,0,0,0,0,0,0,18.2
11249,4.21428571429,201,4.25,166,127.0,86.0,35.0,6.0,163,2895,1568,65,3,6,22,11,1,7,2,1,15.1206140351
11256,0.0,0,0.0,0,163.0,117.0,42.0,4.0,1,6,3,1,0,0,0,0,0,0,0,0,10.0
11352,0.0,0,0.0,0,202.0,145.0,50.0,6.0,1,23,17,0,1,0,0,0,0,0,0,0,25.1666666667
11354,4.27777777778,38,4.27272727273,345,308.0,219.0,79.0,7.0,389,7815,4736,22,136,10,24,1,1,0,7,0,17.1803278689
11355,4.08333333333,9,4.13333333333,196,151.0,115.0,31.0,3.0,203,4324,2605,12,92,1,5,0,5,0,8,1,17.22
11356,3.77777777778,25,3.85294117647,74,113.0,84.0,28.0,1.0,52,873,493,8,11,1,1,3,3,2,5,3,14.06
11357,4.16666666667,22,4.21428571429,60,79.0,59.0,19.0,0.0,65,1152,633,12,7,1,1,13,1,0,6,0,14.0792838875
11358,4.04545454545,19,4.28571428571,116,54.0,37.0,17.0,0.0,143,2753,1547,13,9,7,6,3,3,1,9,2,15.3767123288
11360,0.0,0,4.0,101,63.0,46.0,16.0,0.0,25,465,252,10,1,0,1,1,0,0,2,0,14.4640522876
11361,3.73529411765,120,4.09375,228,54.0,35.0,18.0,0.0,116,2038,1095,25,10,4,6,5,2,1,9,1,14.2218978102
11362,3.75,32,4.0,145,51.0,35.0,14.0,2.0,49,951,552,6,8,3,2,4,0,1,4,1,15.6777408638
11363,4.5,8,4.25,52,43.0,25.0,17.0,1.0,13,236,134,5,2,0,0,2,0,0,1,0,15.08
11364,3.5,21,4.25,121,47.0,28.0,17.0,0.0,50,1045,598,6,7,4,0,3,0,0,5,0,15.1642228739
11365,3.33333333333,122,3.92857142857,107,473.0,346.0,121.0,2.0,44,753,401,9,8,2,1,1,1,2,5,1,14.420233463
11366,2.5,46,3.65,90,93.0,68.0,23.0,1.0,62,1064,573,7,9,2,0,1,0,1,5,1,15.3110465116
11367,3.625,26,3.88888888889,109,236.0,173.0,63.0,0.0,55,1022,577,7,6,0,0,0,1,0,4,1,14.9005847953
11368,3.8,39,4.31818181818,191,255.0,169.0,78.0,6.0,299,5683,3181,72,21,0,4,2,58,33,12,33,15.615640599
11369,3.25,25,4.0,53,53.0,42.0,11.0,0.0,83,1529,826,28,5,1,2,1,8,1,3,4,13.8711433757
11370,4.0,34,4.25,165,3.0,2.0,1.0,0.0,27,527,290,5,4,0,0,3,0,0,2,1,14.2191011236
